~
21 22 23 20 22 21 20 23 20 23 21 22 23 21 22 20
82 83 27 00 26 00 00 27 00 00 26 00 27 26 00 27
92 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00
00 00 00 1E 21 1F 00 00 00 00 00 00 00 00 00 00
00 00 00 1E 20 23 1F 24 00 00 00 00 00 24 00 00
00 00 24 1E 23 20 22 23 21 1F 00 1E 22 23 22 21
00 1E 22 21 22 1F 1E 21 20 23 22 23 20 1F 80 81
22 23 20 1F 27 00 00 26 27 00 26 00 27 00 00 91
26 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00
20 22 23 21 22 1F 1E 20 21 1F 1E 23 22 20 21 23
FE FE FE FE FE FE FE FE FE FE FE FE FE FE FE FE
