~
21 22 23 20 22 21 20 23 20 23 21 22 23 21 22 20
82 83 27 26 00 27 00 26 00 26 00 26 00 27 80 81
92 00 00 00 00 00 00 00 00 00 00 00 00 00 00 91
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 1E 23 22 1F 00 00 00 00 00 00
00 00 00 24 1E 22 20 21 1F 00 00 00 24 00 00 00
00 00 1E 20 21 1F 26 00 00 00 00 1E 22 21 20 23
21 22 23 1F 00 00 00 00 00 00 00 00 00 00 00 00
00 27 00 00 00 1E 22 23 1F 00 00 00 00 00 00 00
00 00 00 00 00 00 26 00 23 21 20 22 1F 00 00 00
00 00 00 00 00 00 00 00 00 00 00 27 00 24 00 00
00 00 24 00 00 00 00 00 00 25 00 00 00 23 22 21
20 22 23 21 1F 1E 22 1F 1E 20 21 23 22 20 21 23
FE FE FE FE FE FE FE FE FE FE FE FE FE FE FE FE
